source,title,description,text,url,publishedAt
Yahoo Entertainment,Ford says its Q1 profit fell by two-thirds and it expects a $1.5 billion hit from tariffs this year,,"DEARBORN, Mich. (AP) — Ford Motor Co. says it expects to take a $1.5 billion hit to its operating profit from tariffs this year and is withdrawing its full-year financial guidance due to the uncertainty created by the Trump administration's evolving trade policy.

Ford said Monday that its net income fell by about two-thirds in the first quarter to $473 million, or 12 cents per share, from $1.33 billion, or 33 cents per share in the year-earlier quarter. Revenue dropped 5% to $40.66 billion.

The results topped the expectations of analysts surveyed by FactSet, who forecast earnings per share for the quarter would be flat. Revenue was forecast to be $38.02 billion. Still, the stock fell more than 2% in after-hours trading.

Last week, General Motors said it is bracing for a potential impact from auto tariffs as high as $5 billion in 2025. Ford and Tesla are expected to see a smaller impact from tariffs than GM and other automakers because they assemble more of their cars in the U.S. Still, what impact they do see won't be insignificant.

Ford originally forecast 2025 earnings before interest and taxes in a range of $7 billion to $8.5 billion, but on Monday the company said the risks associated with tariffs “make updating full year guidance challenging right now given the potential range of outcomes.”

Ford CEO Jim Farley has been touting the advantage that higher domestic production gives his company and he did so again Monday, while acknowledging that the shake-up to the industry from tariffs is still in its early stages.

“It’s too early to gauge the related market dynamics, including the potential industrywide supply chain disruptions,” said Farley said on an earnings call with analysts. “Automakers with the largest U.S. footprint will have a big advantage, and, boy, that is that true for Ford. It puts us in the pole position.”

President Donald Trump says one goal of his trade policy is to move more manufacturing of products such as autos back to the U.S. Last week Trump signed executive orders to relax some of his 25% tariffs on automobiles and auto parts in a move the president said would allow automakers more time to transition their manufacturing operations.

Automakers and independent analyses have indicated that the tariffs could raise prices, reduce sales and make U.S. production less competitive worldwide.

The potential impact of tariffs dominated Ford's earnings calls, with one executive noting how just a little trouble with a few parts could have a dramatic effect.

“The rare earth materials from China, for example, how they are imported, not just for us, but for the entire industry, has become rather complicated over the last few weeks,” said Chief Operating Officer Kumar Galhotra. “It would take only a few parts to potentially cause some disruption into our production.”",https://finance.yahoo.com/news/ford-says-q1-profit-fell-223419913.html,
New Zealand Herald,"Tesla’s New Zealand revenue crashed in 2024 – and this year is worse, so far",,"Overall New Zealand new vehicle registrations continued their downward drift last month; from 9223 in April last year to 8839 for the month just gone – a 3.9% drop.

But while the overall market is soft, EV sales have picked up sharply in New Zealand so far this year, in part because of keenly-priced Chinese brands, including the Geely-owned Polestar and BYD.

April sales figures released by the Motor Industry Association (MIA) show 494 battery electric vehicle new registrations for the month, compared with 279 for April 2024 and 2316 year-to-date compared with 1499 at this point last year.

Tesla lags

The comeback is relative. EV sales were still just under half the number recorded in the Clean Car Discount-fuelled April 2023.

And Tesla, which held the number one and number three sales slots around this time last year, has just one model in April’s top five:

Top-selling EVs in New Zealand, April 2025

Polestar 2: 78 BYD Dolphin: 36 Tesla Model Y: 34 BYD Atto 3: 32 Kia EV5: 25

Source / MIA

Tesla has sold 179 of its mainstay Model Y cars in New Zealand so far this year compared with 292 at this point in 2024 (a year that in itself saw the 60% revenue slump outlined above).

Musk pulls back

The firm has faced global protests and seen vandal attacks – including in Auckland – in the wake of Musk donating more than US$250m ($418m) to Donald Trump’s presidential campaign then spearheading the returning President’s Doge cost-cutting drive.

Another factor was some customers waiting for the refreshed 2025 version of the Model Y. First deliveries had been expected in April. Tesla ANZ has been approached for comment. The automaker is still offering run-out Model Ys at a $10,000 discount on its New Zealand website in a promotion that began in January.

The BYD Shark 6 PHEV,

On Tesla‘s first-quarter conference call on April 22, after his firm reported a 71% fall in net profit to US$409m (after booking US$595m from other automakers who pay Tesla for carbon credits to offset their sale of conventional vehicles), Musk said he would spend less time on Doge and more at Tesla from the end of May.

Tesla shares rallied after Musk announced his pending pullback from Trump and were recently trading at US$280.26. The stock hit an all-time high of US$479.86 in December as the new President prepared to take power.

Recently, a rift has opened up between Musk and Trump over tariffs. Musk, whose firm imports batteries from BYD in China, among other offshore-manufactured parts, opposes the measure.

Shark chomps, Cybertruck absent

Tesla had a Cybertruck on tour here earlier this year, but has yet to say when the electric ute will be available for New Zealand customers.

Meanwhile, BYD’s plug-in hybrid dual-cab ute, the Shark 6, continues to be a runaway hit for the Chinese firm, with 119 sales in April 658 year to date – making it one of New Zealand’s top-selling light commercial vehicles (the year-to-date chart-toppers are the Toyota Hilux on 2528 and the Ford Ranger on 2460).

Tesla builds at Westgate

Tesla, which closed its showroom and service centreon central Auckland’s Karangahape Rd in May last year, will soon open a new facility at Westgate in the city’s northwest, which will be called “Tesla North”.

In July 2023, Telsa opened a large showroom, service centre and spare parts facility in Māngere, dubbed “Tesla South”, near Auckland Airport.

Tesla New Zealand’s rent expenses increased to $2.1m in 2024 from $826,000 in 2023.

Tesla has been asked for comment.

Chris Keall is an Auckland-based member of the Herald’s business team. He joined the Herald in 2018 and is the technology editor and a senior business writer.",https://www.nzherald.co.nz/business/tesla-ev-automakers-new-zealand-revenue-crashed-in-2024-and-this-year-is-worse-so-far/F6VRMMDORZF2PPVW6XEVEXAMRI/,2024-05-07 00:00:00
The Star Online,Tesla sales slump in Europe,,"SAN FRANCISCO, May 5 (Xinhua) -- Tesla sales in Europe plunged in the first four months of the year by 37.2 percent, even as sales of fully electric vehicles in Europe rose 28 percent, according to a Reuters report on Monday.

Tesla sales in Sweden dropped 81 percent to its lowest level in nearly three years, according to the report.

Tesla's new car sales in Spain fell 36 percent in April to just 571 vehicles year over year, according to data from industry group ANFAC (Spanish Association of Automobile and Truck Manufacturers).

Tesla's poor sales outcome in Europe come as some buyers protest CEO Elon Musk's closeness with U.S. President Donald Trump, whose tariffs have resulted in global economic instability. Europeans are also increasingly buying more Chinese EVs, including those from Tesla rival BYD, according to a report by TechCrunch.",https://www.thestar.com.my/news/world/2025/05/06/tesla-sales-slump-in-europe,2025-05-06 00:00:00
Electrek,Tesla Cybertruck inventory skyrockets to record high,,"Tesla’s Cybertruck inventory has skyrocketed to a new record high of more than 10,000 units. The vehicle program is in crisis.

We reported at the beginning of April that Tesla ended the first quarter of 2025 with at least 2,400 Cybertrucks in new inventory available in the US.

There’s no exact way to track Tesla’s inventory in the US, but there are ways to track Tesla’s Cybertruck listings. Sometimes, Tesla may have many vehicles with the exact same configuration at the same location and it will only publish a single listing for it.

Therefore, Tesla might have been sitting on more Cybertruck inventory.

Advertisement - scroll for more content

A month later, the number of listings in the US has skyrocketed to over 10,000 Cybertrucks, according to Tesla-Info.com:

This surge could be due to an actual net increase in Cybertruck inventory, but Tesla is also heavily discounting the trucks at varying rates, creating several different prices and, therefore, more listings.

At an average sale price of $78,000, Tesla could have almost $800 million worth of Cybertrucks.

Due to low demand, Tesla appears to have significantly slowed down Cybertruck production in recent months. Therefore, this surge is likely more about Tesla discounting the vehicles, exposing the broader US inventory, than an actual major increase in inventory due to more production.

Many of the Cybertrucks in inventory were built in 2024, so they are already at least four months old. Tesla still has ‘Foundation Series’ Cybertrucks in inventory, which it stopped producing in October 2024—more than seven months ago.

Tesla recently launched the Cybertruck RWD, but it has given up on making it with a smaller battery pack and instead removed many important features.

Electrek’s Take

This is about as bad as it gets. Over 10,000 units account for about two quarters of Tesla’s Cybertruck sales.

It already looks like Tesla has slowed Cybertruck production down to a crawl, but I wouldn’t be surprised if it pauses it soon. The hard part for Tesla is to admit defeat.

The Cybertruck RWD using the same battery pack as the AWD was already a sort of admission that Tesla found the vehicle program to be too small to be worth being produced with two battery pack sizes. The automaker did the same with Model S/X when the program’s volumes shrank following the launches of Model 3 and Model Y.

It looks like under the current circumstances, Tesla will have issues selling more than 20,000 Cybertrucks per year in the US despite having planned production for 250,000 units.",http://electrek.co/2025/05/05/tesla-cybertruck-inventory-skyrockets-to-record-high/,2025-05-05 00:00:00
Japan Today,OpenAI reverses course and says its nonprofit will continue to control its business,,"By MATT O'BRIEN

OpenAI is reversing course and said Monday its nonprofit will continue to control the business that makes ChatGPT and other artificial intelligence products.

“We made the decision for the nonprofit to stay in control after hearing from civic leaders and having discussions with the offices of the Attorneys General of California and Delaware,” said CEO Sam Altman in a letter to employees.

Altman and the chair of OpenAI’s nonprofit board, Bret Taylor, said the board made the decision for the nonprofit to retain control of OpenAI. The nonprofit already has a for-profit arm, but that arm will be converted into a public benefit corporation “that has to consider the interests of both shareholders and the mission,” Taylor said.

OpenAI’s co-founders, including Altman and Tesla CEO Musk, originally started it as a nonprofit research laboratory on a mission to safely build what’s known as artificial general intelligence, or AGI, for humanity’s benefit. Nearly a decade later, OpenAI has reported its market value as $300 billion and counts 400 million weekly users of ChatGPT, its flagship product.

OpenAI faced a number of challenges in converting its core governance structure. One is a lawsuit from Musk, who accuses the company and Altman of betraying the founding principles that led Musk to invest in the charity.

© Copyright 2025 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission.",https://japantoday.com/category/tech/openai-reverses-course-and-says-its-nonprofit-will-continue-to-control-its-business1,2025-05-06 05:30:00+09:00
OregonLive,Maker of ChatGPT says it will remain under nonprofit control after all,,"After months spent pursuing a plan to convert itself into a for-profit business, OpenAI is reversing course and said Monday its nonprofit will continue to control the company that makes ChatGPT and other artificial intelligence products.

“We made the decision for the nonprofit to stay in control after hearing from civic leaders and having discussions with the offices of the Attorneys General of California and Delaware,” said CEO Sam Altman in a letter to employees.

Altman and the chair of OpenAI’s nonprofit board, Bret Taylor, said the board made the decision for the nonprofit to retain control of OpenAI. The nonprofit already has a for-profit arm, but that arm will be converted into a public benefit corporation “that has to consider the interests of both shareholders and the mission,” Taylor said.

However, Taylor declined to say Monday how large of an ownership stake the nonprofit will have in the new public benefit corporation. He said in a call with reporters that the nonprofit will choose the board members of the public benefit corporation and, at first, they will likely be the same people who now sit on OpenAI’s nonprofit board.

Public benefit corporations were first created in Delaware in 2013 and other states have adopted the same or similar laws that require the companies to pursue not just profit but a social good. Public benefit corporations, which include Amalgamated Bank and the online education platform Coursera, need to define that social good, which can vary broadly, when they incorporate.

Altman said that converting from a limited liability company to a public benefit corporation “just sets up us to be a more understandable structure to do the things that a company of our scope has to do.”

Among the changes would be removing a cap OpenAI had placed on how much profit it could make.

“There’s so much more demand to use AI tools than we thought there was going to be,” Altman said. Getting access to more capital will make it easier for OpenAI to pursue mergers and acquisitions “and other normal things companies would do,” Altman said.

OpenAI’s co-founders, including Altman and Tesla CEO Elon Musk, originally started it as a nonprofit research laboratory on a mission to safely build what’s known as artificial general intelligence, or AGI, for humanity’s benefit. Nearly a decade later, OpenAI has reported its market value as $300 billion and counts 400 million weekly users of ChatGPT, its flagship product.

OpenAI first outlined plans last year to convert its core governance structure but faced a number of challenges. One is a lawsuit from Musk, who accuses the company and Altman of betraying the founding principles that led Musk to invest in the charity. A federal judge last week dismissed some of Musk’s claims and allowed others to proceed to a trial set for next year.

OpenAI also faced scrutiny from the top law enforcement officers in Delaware, where the company is incorporated, and California, where it operates out of a San Francisco headquarters. The California attorney general’s office said in a statement that it was reviewing the plan and, “This remains an ongoing matter — and we are in continued conversations with Open AI.”

The attorney general’s office in Delaware did not immediately return a request for comment.

A number of advocates, including former OpenAI employees and other charities, had petitioned California Attorney General Rob Bonta and Delaware Attorney General Kathy Jennings, both Democrats, to use their authority to protect OpenAI’s charitable purpose and block its planned restructuring.

Some were concerned about what happens if the ChatGPT maker fulfills its ambition to build AI that outperforms humans, but is no longer accountable to its public mission to safeguard that technology from causing grievous harm.

Multiple other artificial intelligence companies have opted to incorporate as public benefit corporations, including Anthropic and xAI, Musk’s company. However, OpenAI would remain unique in that its public benefit corporation would still be controlled by the nonprofit’s board.

Altman said it would “maybe be easier” to raise money if OpenAI were a “fully normal company,” but given its mission, “we don’t want to be a fully normal company, and we believe this is well over the bar of what we need to be able to fundraise.”

“We’ve had plenty of investors who think OpenAI is a great business but don’t care about or don’t appreciate our mission,” Altman said, adding that he was “happy not to have their money.”

Altman said he still expects a large investment from Japanese technology giant SoftBank Group, which in February announced plans to set up a joint company with OpenAI to push AI services.

The company’s biggest investor over the past several years has been Microsoft, which didn’t immediately respond to a request for comment Monday.

-- The Associated Press",https://www.oregonlive.com/business/2025/05/maker-of-chatgpt-says-it-will-remain-under-nonprofit-control-after-all.html,2025-05-05 20:59:01.338000+00:00
Electrek,"Ford warns Trump’s tariffs will cost $2.5 billion, withdraws 2025 guidance",,"Ford (F) reported its first-quarter earnings, beating Wall Street’s revenue and EPS expectations. However, with Trump’s auto tariffs, Ford is suspending full-year guidance. Here’s a breakdown of Ford’s Q1 2025 earnings

Ford Q1 2025 earnings preview

After crosstown rival General Motors cut its full-year financial guidance last week, investors are waiting to see if Ford will follow suit.

Ford’s previous 2025 forecast called for EBIT of $7 billion to $8.5 billion and capital expenditures between $8 billion and $9 billion.

The biggest threat is Trump’s new auto tariffs, which include a 25% duty on imported vehicles and many parts. Since Ford builds a greater percentage of vehicles in the US than any other major automaker, outside of Tesla, it isn’t expected to see as big of an impact.

Advertisement - scroll for more content

CEO Jim Farley called it “an opportunity for Ford,” during an interview with CNN last week, saying the company has a “different footprint, a different exposure for tariffs.”

Ford imports around 21% of the vehicles it sells in the US, while GM imports around 46%. According to Estimize, Wall St expects Ford to post Q1 EPS of $0.0 on revenue of $38.02 billion.

The company reports earnings for each of its three business units, Ford Blue (gas-powered vehicles), Model e (electric vehicles), and Ford Pro (commercial and software business).

In the fourth quarter, Ford’s EV unit (Model e) lost another $1.4 billion while Pro and Blue each reported an adjusted EBIT of $1.6 billion.

Ford Mustang Mach-E (left) and F-150 Lightning (right) (Source: Ford)

Financial breakdown

Ford beat Wall Street estimates, reporting first-quarter revenue of $40.7 billion with an adjusted EPS of 0.49.

Q1 2025 Revenue : $40.7 billion vs $38.02 billion expected.

: $40.7 billion vs $38.02 billion expected. Q1 2025 Adjusted EPS: $0.49 vs $0.0 expected.

The company posted adjusted EBIT of $1 billion, down 63% from Q1 2024. Ford said its first-quarter EBIT suffered a nearly $200 million hit from added tariff costs, primarily in Ford Blue and Ford Pro.

Ford Pro generated an EBIT of $1.3 billion, Ford Blue $96 million, and Ford Model e reported an EBIT loss of $849 million.

Ford Model e Q1 2025 earnings (Source: Ford)

For Model e, the company is focused on improving gross margins and “exercising a disciplined approach to investments in battery facilities and next-generation products.” Although still a nearly $1 billion loss, it’s still a $500 million improvement from Q1 2024.

Ford said higher Model e revenue was driven by new EVs launching in Europe, like the electric Explorer and Capri.

Ford’s electric vehicles in Europe from left to right: Puma Gen-E, Explorer, Capri, and Mustang Mach-E (Source: Ford)

The company said its “Power Promise” promotion, which includes a free home charger and several other benefits, has helped drive demand in the US.

Although it’s tracking within its previous full-year adjusted EBIT guidance of between $7 billion and $8.5 billion, Ford is suspending full-year guidance due to the uncertainty surrounding tariffs.

2025 Ford Mustang Mach-E (Source: Ford)

Ford estimates the full-year gross cost of tariffs to be around $2.5 billion. It expects a tariff-related net adverse adjusted EBIT impact of about $1.5 billion for the full year 2025.

Ford also extended its “From America, For America” campaign last week. The promo includes employee pricing on most 2024 and 2025 models and now runs through July 4.

Check back for more info from Ford’s first quarter conference call. Ford is also hosting its annual meeting on Thursday, May 8, where we should learn more about its EV plans and how it will navigate the new tariffs.",http://electrek.co/2025/05/05/ford-warns-trump-tariffs-will-cost-2-5-billion-withdraws-guidance/,2025-05-05 00:00:00
Yahoo Entertainment,Palantir (PLTR) Traders Brace for 12% Post-Earnings Swing,,"Palantir Technologies (PLTR, Financials) will report quarterly results after the market closes Monday, and traders are bracing for a major move. Options pricing implies a swing of more than 12%, which could push the stock to a new all-time high near $139or knock it back to $108.

Palantir has become a standout in 2025, rising more than 60% year to date, even as the S&P 500 has slipped more than 3%. That momentum builds on its 340% surge in 2024, making it the index's best performer last year as well.

Much of that strength comes from surging demand for artificial intelligence tools and a flood of government contracts. More than 40% of Palantir's fourth-quarter revenue came from U.S. federal agencies. While cost-cutting under President Trump and Elon Musk raises some uncertainty, Palantir's focus on defense and immigration tech puts it in step with the administration's priorities.

The company has a pattern of delivering upside surprises. It rallied more than 20% after each of its last two earnings releases, citing strong adoption of its AI platform and revenue growth above 30%.

Still, Wall Street isn't sold. Only one analyst currently rates the stock a buy, citing valuation concerns after its meteoric run. But Palantir's retail following remains loyal. According to Vanda Research, it's the third most popular stock among individual investors, trailing only Nvidia (NVDA, Financials) and Tesla (TSLA, Financials).

Investors will be watching closely to see if the earnings match the hypeand whether the rally has room to continue.

Explore valuation details.

See insider activity.

This article first appeared on GuruFocus.

",https://finance.yahoo.com/news/palantir-pltr-traders-brace-12-205425040.html,
Freerepublic.com,Black Leftist Moves to Africa and Discovers That America Isn’t So Bad After All,,"Skip to comments.

Black Leftist Moves to Africa and Discovers That America Isn’t So Bad After All

the liberty daily ^ | Zero Hedge

Posted on by NoLibZone

Millions of Americans, including those among the lowest income brackets, truly have no idea how good life is for them. The grass is always greener somewhere else in the world until people actually take the plunge and move to the neighbor’s house only to discover it’s crack den.

The self hatred that progressives feel over being American and living in the US is a first-world luxury that few others can afford. Most of humanity doesn’t have time to dwell obsessively on their nation’s global image; they are too busy barely surviving. The argument often regurgitated by over-privileged activists on Reddit forums and in college classrooms is that American “exceptionalism” is problematic because there’s nothing exceptional about America.

This claim is debunked by the fact that most of the rest of the world wants to come to the US and very few people want to leave. Those that do leave are usually among the wealthiest, or, they are gullible and think they can find something better overseas. It usually doesn’t go well for them.

One black leftist recently figured this out after moving to Africa. She assumed she would fit right in, but now says she actually prefers dealing with American “racism” over the scammers, grifters and of course, the lack of snacks. Her complaints have gone viral because they expose the common leftist delusion that the US is somehow one of the worst places on Earth. They simply don’t understand how lucky they are until they step outside of their echo chamber.

A minimal amount of research will drudge up numerous accounts similar to this one – Most black Americans simply cannot assimilate after relocating to Africa and most Americans don’t do well in regions devoid of western culture. The ultra-rich are fine wherever they go, but middle class expatriats have difficult experiences. Black comedians and celebrities have been trying to warn their community for decades about this. The venerable Patrice O’Neil didn’t mince words on the idea of “going back to Africa”.

When confronting the issue of racism in America, it should be noted that most of the world treats Black Americans differently. Not necessarily because of skin color but because of their cultural habits and behaviors.

Perhaps what black leftists in America interpret as “racism” is actually cultural burnout; a national or even global acknowledgment by other groups that they are tired of dealing with all the baggage that the black American community tends to bring with them? And if this is the case, then it’s unlikely that there are many other places in the world that will give them the time of day the way American society does.



TOPICS:

News/Current Events

KEYWORDS:

wakanda



Click here: to donate by Credit Card Or here: to donate by PayPal Or by mail to: Free Republic, LLC - PO Box 9771 - Fresno, CA 93794 Thank you very much and God bless you.

Name the nation that black Americans feel they would be treated well in. Anyone. Anyone at all.



To: NoLibZone

Name a successful black nation. Wakanda doesn’t count.



To: NoLibZone

Wakanda



by 3 posted onby henkster (""The masses are too stupid to understand our enlightened leadership"" said every Marxist ever)

To: NoLibZone

Yup, America is First-World. Black nations tend to be oppressively dictatorial along with Arab/Muslim nations.



by 4 posted onby Jim W N (MAGA by restoring the Gospel of the Grace of Christ (Jude 3) and our Free Constitutional Republic!)

To: NoLibZone

Kind of like when Eldridge Cleaver tried to live in Cuba. It wasn’t all that it was cracked up to be.



To: Larry Lucido

Kind of like when Eldridge Cleaver tried to live in Cuba. It wasn’t all that it was cracked up to be. Cleaver came back to the US as a conservative.



To: DIRTYSECRET

Name a successful black nation. I have been to several places in Kenya. I wouldn't consider it particularly prosperous by American standards, but for the most part it was a lot better than I expected. It may not be ""successful"" but it is by no means a failure. Still, I would probably not go back.



by 7 posted onby henkster (The attacks on Tesla are all the proof you need that climate change was never about climate change.)

To: NoLibZone

Most black Americans simply cannot assimilate after relocating to Africa



Well, yeah - of course not. Acclimating from the First World to a Third World nation takes a lot more than skin color.



To: DIRTYSECRET

Wakanda doesn’t count.



The original name in the movie was supposed to be Wokenda, but was changed the last minute before release.



To: NoLibZone

Even Muhammad Ali when he went to Africa to fight George Foreman said, “Thank God my granddaddy got on that boat!”



To: NoLibZone

Most white countries if they are being realistic.



by 11 posted onby ansel12 ((NATO warrior under Reagan, and RA under Nixon, bemoaning the pro-Russians from Vietnam to Ukraine.))

To: NoLibZone

South Africa. It’s developed even though crime is an issue. We can navigate. It’ll be just like living in Baltimore.



To: All

In 2023, African countries received approximately US$59.7 billion in foreign aid from donor countries. This figure represents 26.8% of the total official development assistance (ODA) provided by the countries in the Development Assistance Committee (DAC). Aid to Africa has seen a slight decline in recent years, with a decrease from US$64.8 billion in 2021. Total Aid:

In 2023, a total of US$223.3B in aid was provided globally, a 1.6% increase from 2022. African Aid Share:

African countries received US$59.7 billion in aid, representing 26.8% of the total aid provided.

United States Contribution: The United States provides significant aid to Africa, although it has been experiencing a decrease in funding. In 2023, the U.S. provided less than US$20 billion in aid to Africa, which is a decrease from previous years. In 2024, the U.S. foreign aid declined further to US$12.7 billion. Other Donors:

China has also increased its commitment to financing development projects in Africa. Key Sectors:

Health sectors received 10.3% of aid, or US$24.1 billion, while humanitarian aid was 13.7% of aid, or US$32.3 billion in 2022.



by 13 posted onby Liz (This then is how we should pray....""Our Father, who art in heaven......"" )

To: MinorityRepublican

South Africa is still light years ahead of any other country on the continent, which is why they have a big problem with illegals entering their country.



To: dfwgator

Indeed. Rest in peace.



To: henkster

I have been to several places in Kenya. I wouldn't consider it particularly prosperous by American standards, but for the most part it was a lot better than I expected. It may not be ""successful"" but it is by no means a failure. Still, I would probably not go back.

That's fair. And I believe Kenya experienced a great Christian revival in the early 20th century. IMHO, that's the difference maker. The western world had the First and Second Great Awakenings (some say the revival in the 20th century was enough to call it a 3rd Great Awakening). Most sub-Saharan nations didn't have that kind of culture improvement.

And the more we let the God-denying, baby-killing, pedo-pushing, warmageddon cult left move us away from our Christian culture, the more we risk becoming like much of Africa.



To: NoLibZone

In a lot of the world a toilet is a hole in the floor. Once you get past that...



To: dfwgator

Dr. Thomas Sowell had a similar sentiment.



To: Mean Daddy

Ali was also a Reagan supporter. Something the leftists conveniently ignore.



To: dfwgator

Even Bob Marley’s fighting for his people supporting liberation in Zimbabwe didn’t help much. It still sucks.



Disclaimer: Opinions posted on Free Republic are those of the individual posters and do not necessarily represent the opinion of Free Republic or its management. All materials posted herein are protected by copyright law and the exemption for fair use of copyrighted works.

FreeRepublic , LLC, PO BOX 9771, FRESNO, CA 93794

FreeRepublic.com is powered by software copyright 2000-2008 John Robinson",https://freerepublic.com/focus/f-news/4315195/posts,
Business Insider,4 of the best looks billionaires have worn to the Met Gala and 4 that missed the mark,,"lighning bolt icon An icon in the shape of a lightning bolt.

lighning bolt icon An icon in the shape of a lightning bolt. Impact Link

This story is available exclusively to Business Insider subscribers. Become an Insider and start reading now.

What would the Met Gala be without billionaires?

Each year, celebrities, athletes, business people, and more convene on the Metropolitan Museum of Art steps to enter the glamorous ball, which raises money for the Costume Institute.

Many of those attendees also happen to have fortunes totaling billions of dollars. There's Kim Kardashian, Jeff Bezos, and Rihanna, just to name a few.

Here's a look at some of the best looks those wealthy Met Gala guests have worn over the years, as well as a few that could have been better.",https://www.businessinsider.com/best-worst-looks-billionaires-have-worn-at-met-gala,
