source,title,description,text,url,publishedAt
Nextgov,"User with Russian IP address tried to log into NLRB systems following DOGE access, whistleblower says",,"A user with a Russian IP address tried to log into National Labor Relations Board systems just minutes after the Department of Government Efficiency moved to access and extract troves of sensitive data from inside the agency, according to an extensive whistleblower disclosure released Tuesday.

The whistleblower, Daniel Berulis, provided forensic evidence and internal documentation to Congress and the U.S. Office of Special Counsel, accusing DOGE of exfiltrating large volumes of confidential data and disabling various security monitoring systems used to scan for malicious behavior in NLRB’s networks, NPR first reported.

The user attempting to log in relied on a newly created DOGE email account and the attempts were “near real-time,” according to the Berulis disclosure. It’s not clear whether the user was actually in Russia because hackers often use techniques to remotely mask their true location.

The login attempts were blocked, but the person used a correct username and password, suggesting that adversaries may already be testing entry points potentially exposed by DOGE’s activities across the government.

The whistleblower’s disclosure was accompanied by a cover letter from his attorney, Andrew Bakaj of Whistleblower Aid, which said that, after he raised concerns internally about DOGE’s inroads into the agency, he received a physically taped threat on his door containing personal information and overhead photos of him walking his dog.

A DOGE spokesperson did not immediately return a request for comment. DOGE, overseen by Elon Musk, is not an official government agency and was stood up as a reworking of the U.S. Digital Service at the start of the Trump administration to eliminate perceived federal spending waste.

The accusations from Berulis are not an isolated incident, NPR reported, citing an aide for the Democratic minority on the House Oversight Committee who said the panel is “in possession of multiple verifiable reports showing that DOGE has exfiltrated sensitive government data across agencies” for reasons that are unknown.

“This case has been particularly sensitive as it involves the possibility of sophisticated foreign intelligence gaining access to sensitive government systems, which is why we went to the Senate Intelligence Committee directly,” said Bakaj. Spokespeople for Sens. Tom Cotton, R-Ark. and Mark Warner, D-Va., the top lawmakers on the Senate panel, did not immediately return requests for comment.

The disclosures underscore the breadth of DOGE’s expansion across the federal landscape, and follow mounting legal challenges over its sweeping access to Americans’ financial and personal data. How that data is being protected, processed or used remains unclear.

Broader security and privacy concerns about DOGE have been compounded by the cost-cutting entity’s access to highly sensitive labor information and the potential conflict of interest posed by Elon Musk’s dual role in government and as chief of companies under active NLRB investigation, including SpaceX and Tesla. NLRB’s case systems contain data like union organizing activities, employee whistleblower identities, legal strategies and proprietary business information.

The whistleblower claims DOGE engineers used secretive and suspicious methods to pull sensitive information from the NLRB’s systems. They shut off security tools that track activity, deleted evidence of what they accessed and used software that made their work nearly invisible, Berulis alleged in filings.

A big spike in data leaving the agency followed, possibly through a technique that hides stolen data in normal-looking internet traffic, according to the disclosures. One engineer also appeared to be working on a tool designed to pull files from the agency’s internal case system. Security experts told NPR those tactics resemble the playbook of foreign hackers and not federal workers.",https://www.nextgov.com/cybersecurity/2025/04/user-russian-ip-address-tried-log-nlrb-systems-following-doge-access-whistleblower-says/404574/,2025-04-15 16:45:00+00:00
Gizmodo.com,Whistleblower Reportedly Stalked by Drone Following DOGE Complaint,,"None of this should be surprising, but to belabor the point: DOGE has everything. It is well past time to stop nickel-and-diming the story.

There is a new lengthy investigation out from NPR today detailing how Elon Musk’s waste and government efficiency initiative has barreled into the National Labor Relations Department and exfiltrated mass amounts of sensitive data, taking great lengths to cover its tracks, and threatening employees who speak out. Experts in cybersecurity likened the actions taken to those of a state-sponsored hacking group, questioning why a mandate to save money in government would require such cloak-and-dagger behavior—DOGE staffers demanded activity logging be disabled, and wiped their anonymous user accounts on the way out.

The most salacious detail in the story regards Daniel Berulis, an IT employee who pieced together breadcrumbs left behind by DOGE. His concerns triggered a formal investigation of what appeared to be a serious, ongoing breach or potentially illegal removal of sensitive data:

In the days after Berulis and his colleagues prepared a request for CISA’s help investigating the breach, Berulis found a printed letter in an envelope taped to his door, which included threatening language, sensitive personal information and overhead pictures of him walking his dog, according to the cover letter attached to his official disclosure. It’s unclear who sent it, but the letter made specific reference to his decision to report the breach. Law enforcement is investigating the letter.

After DOGE left the building, Berulis began looking around to piece together what they had done and found very little. Upwards of 10 gigabytes of data was taken out, data which could include information on unions and ongoing legal cases, a particular concern since Musk’s empire of companies has repeatedly been the subject of labor lawsuits that he has deemed unconstitutional. But “logs that were used to monitor outbound traffic from the system were absent” and “some actions taken on the network, including data exfiltration, had no attribution — except to a ‘deleted account’.”

It was discovered through NPR’s investigation that a DOGE engineer, Jordan Wick, had a repository on his GitHub called “NxGenBdoorExtract,” whose name suggests it could be a backdoor system to extract files from NxGen, the NLRB’s internal case management system. One of DOGE’s other workers, who goes by the name “Big Balls,” has previously worked for a cyberhacking group, providing cloud hosting services to a gang that trafficked in stolen data.

What is more, unknown users had granted themselves high-level keys to access NLRB storage, and there was no way to access what they did with the permission. PowerShell downloads were visible on the systems, which allow engineers to run automated commands, and several code libraries “appeared to be designed to automate and mask data exfiltration.” There was even a tool to generate endless numbers of IP addresses, another way to mask where data was going. Controls were disabled that would prevent unauthorized devices, like smartphones, from logging onto the system without permission, and two-factor authentication was also turned off.

Musk has said that would recuse himself of any work involving his companies. “I’m getting a sort of a daily proctology exam here,” he said in an interview with Fox News. “You know, it’s not like I’ll be getting away [with] something in the dead of night.” But Musk has also used data obtained from agencies including the Social Security Administration to spread unfounded claims of fraud, and relentlessly attacked the former Biden administration in retaliation over Tesla not being invited to a White House EV summit.

It has been speculated that Musk may have an interest in learning about investigations into Tesla or X—or using data to train models for xAI.

But again, that is a more innocuous possibility. The more concerning potential is for Musk, who has for years been hell-bent on dismantling unions, could exploit newfound access to information on testimony, union leaders, and legal strategies. Maybe he will not use it, but the point is that there is no good reason for DOGE to be covertly exfiltrating data from the department with little to no accountability.

This new reporting should not be surprising, earlier this month, the IRS reportedly held a hackathon to build a “mega API” that would give DOGE easier access to taxpayer data, potentially through a partnership with Palantir. And Musk famously rifled through Twitter’s internal communications following his purchase of the company, firing anyone who spoke negatively about him. It is not unheard of that he might be tempted to snuff out Tesla or SpaceX whistleblowers and fire them under false pretenses.

Despite assertions by Musk and others that unions harm innovation, the U.S. has undergone decades of growth, and recent surveys have found that Americans overwhelmingly support them. Union members on average make 10-20% more than nonunion workers.

People get fired all the time for the lawful act of trying to form a union—including at Tesla—and the public should understand that many NLRB protections are fairly toothless against big-pocketed. DOGE gaining access to sensitive information alone may be the point: Go to the authorities with your concerns and we will find you.

In unrelated news, Katy Perry and Jeff Bezos’ financé Lauren Sanchez went up to space on a Blue Origin rocket this week—a stunt that was looked at with some disdain as the rest of the world back down on Earth crumbles. At least some people understand that what happens here really is more pressing.",https://gizmodo.com/whistleblower-reportedly-stalked-by-drone-following-doge-complaint-2000589538,2025-04-15 16:40:43+00:00
The Times of India,Trump officials are so irritated with the Tesla CEO that they’ve nicknamed him 'Crazy Uncle Elon'; Marco Rubio is struggling to hide his disdain for Musk,,"Why is Elon Musk irritating Trump officials so much?

Live Events

Is Marco Rubio really that frustrated with Elon Musk?

What about those Elon Musk drug rumors?

Could Elon Musk lose his role in Washington?





(You can now subscribe to our

(You can now subscribe to our Economic Times WhatsApp channel

Elon Musk and the Trump Administration are clearly not on the same page these days. The Tesla and SpaceX CEO, who also owns X (formerly Twitter), is reportedly causing serious frustration inside the White House. According to a detailed Rolling Stone report, senior Trump officials have become so annoyed with Musk’s behavior that some are now calling him “Crazy Uncle Elon.”This nickname isn’t a joke among friends — it’s being used by people close to Secretary of State Marco Rubio and other senior officials. The situation speaks volumes about how Musk’s growing role in government is rubbing some powerful people the wrong way.At the center of the tension is Musk’s involvement with his self-created “Department of Government Efficiency,” or DOGE. The idea, on paper, is to help make the federal government run better. But inside the Trump Administration, DOGE is creating confusion, not clarity.One senior official told Rolling Stone, “Talking to the guy is sometimes like listening to really rusty nails on a chalkboard.” The same official added, “He’s just the most irritating person I’ve ever had to deal with, and that is saying something.”Officials say Musk often derails meetings with offbeat jokes and sarcastic comments that fall flat. He expects people to laugh, and when they don’t, he looks almost offended, according to people in the room. This awkward energy has become a regular issue during government discussions.Yes, according to sources who spoke with Rolling Stone, Marco Rubio is finding it hard to hide his frustration. As Secretary of State, Rubio has had several interactions with Musk, especially as Musk’s DOGE project crosses into foreign affairs.Officials close to Rubio say the nickname “Crazy Uncle Elon” came from within the State Department — a reflection of how his behavior is being talked about behind closed doors. These aren’t just policy disagreements. They’re personal, and they’re growing.One official summed it up like this: “Elon just thinks he’s smarter than everyone else in the room and acts like it, even when it’s clear he doesn’t know what he’s talking about.”The conversation took a more serious turn when officials started privately questioning Musk’s mental state and whether drugs might be involved. They’ve even joked about requiring him to take regular drug tests — something Musk himself publicly supported for federal employees back in February.A lawyer for Musk told Rolling Stone that he’s “regularly and randomly drug-tested at SpaceX and has never failed a test.” But a separate Wall Street Journal investigation reported that several current and former executives at Tesla and SpaceX claim they’ve witnessed Musk use LSD, cocaine, Ecstasy, and mushrooms at private events.Even if these claims aren’t confirmed, the fact that officials are discussing them shows how strained this relationship has become.While there’s no official word on whether Elon Musk will be removed or sidelined, the pressure is clearly building. What started as a high-profile partnership between Musk and the Trump Administration is now turning into a political liability for both sides.Officials have walked out of meetings. They’re openly calling him irritating. And behind the scenes, some are even asking if Musk’s influence is more of a problem than a benefit.For now, Musk still holds his DOGE title and continues to weigh in on key government matters. But if the whispers coming out of Washington get louder, we may start to see changes — fast.",https://economictimes.indiatimes.com/news/international/us/trump-officials-are-so-irritated-with-the-tesla-ceo-that-theyve-nicknamed-him-crazy-uncle-elon-marco-rubio-is-struggling-to-hide-his-disdain-for-musk/articleshow/120316361.cms,
Biztoc.com,"FBI collars suspect in Tesla, GOP office firebombings in dramatic New Mexico raid",,"WASHINGTON — The suspect accused of firebombing a Tesla showroom and a Republican Party office in New Mexico was hauled out into the street shirtless following an FBI raid early Saturday, photos obtained by The Post show.

Jamison Wagner, 40, was led away by FBI counterterrorism task…

This story appeared on nypost.com , 2025-04-15 16:25:16.214000.",https://biztoc.com/x/78e4220c5d6d4796,2025-04-15 16:25:16+00:00
TechCrunch,"Former Tesla supply chain leaders create Atomic, an AI inventory solution",,"Tesla famously struggled to scale up production of the Model 3 sedan in 2018 — so much so that CEO Elon Musk said his company was weeks away from collapsing. That near-death experience helped spawn a whole new company called Atomic that’s built around using AI to streamline supply chains.

Co-founded by former Tesla employees Michael Rossiter and Neal Suidan, Atomic was created inside DVx Ventures, the firm run by former Tesla president Jon McNeill. Rossiter is also a partner at DVx, which has led a $3 million seed round for Atomic, with Seattle-based Madrona Ventures joining.

“Michael and Neil experienced this pain firsthand as leaders at Tesla in the supply chain, and I saw that work firsthand — because they worked for me,” McNeill said in an interview with TechCrunch.

Atomic plans to deploy its agentic AI with customers to make inventory planning faster and easier. It’s already been working with pilot customers. In one case, the customer was able to cut inventory levels in half while maintaining a 99% in-stock rate.

Being able to strike a balance like that frees up working capital that a business can use in other places, while also reducing risk, McNeill said.

“If you have too much capital tied up in inventory, you could really harm the business. And if you have too little, where you don’t have the right things in stock when the customer is ready to purchase, then you’re costing yourself big time,” he said.

More broadly, Atomic’s early customers have been in the consumer packaged goods, food and beverage, and apparel industries. The company claims it has helped those customers reduce inventory costs by 20% to 50%.

With so much uncertainty in the world right now, there’s big demand for solutions like Atomic’s because existing ones aren’t built for this kind of volatility, Suidan said in an interview.

Currently, “planners will, like, lock themselves in a room for a week trying to put together different scenarios, present those back to the leadership, and get a question they weren’t anticipating,” Suidan said. Then they “have to go back to these documents, spend a few days, and it’s becomes this process that can be all consuming for them, because they don’t have the tools available to manage the uncertainty with confidence.”

Atomic’s software pulls information from those same source documents but lets inventory planners and supply chain team members quickly simulate multiple scenarios — something that would normally take hours or days.

Rossiter and Suidan pride themselves on being able to get up and running with a customer quickly, and with adaptability.

“You can’t be writing a custom application for every customer. You need a flexible data model that’s generalized, that can apply to everyone, because then you can be up and running really, really quickly,” Suidan said. “And you need to give precision control to the planner so that they feel true ownership over the plan, and they can explain it inside and out, and can pull all the levers in the plan. And if you can combine those two things, which has been our total focus, then you solve the problem for the planner.”

Many Tesla employees have gone on to found their own startups, including former CTO JB Straubel (Redwood Materials) and, most recently, former SVP Drew Baglino (Heron).

But Atomic is different. Instead of just taking skills learned at Tesla and applying them to new problems, Suidan and Rossiter are building Atomic around a philosophy they developed together at the automaker.

“They built the end-to-end supply chain orchestration system from scratch” at Tesla, McNeill said.

Suidan said the value of what they built at Tesla was just as much about the solution as it was changing the process.

“The way the business was planned when we started was a dozen different teams working in isolation, passing these spreadsheets around, trying to tie it together once a week to present executives some summary of a plan, and then spending most of the rest of the week, chasing our tail, trying to figure out why one part didn’t work or the other part didn’t work,” Suidan said. “Our jobs became to build a system that could thrive and drive this company, keep its dynamism, keep its ability to hit these business targets.”

Suidan said the planning system they built inside Tesla resulted in a “complete transformation” in the day-to-day operations. While Rossiter left Tesla shortly after the ramp-up of the Model 3, Suidan stuck around until 2022.

In 2023 Suidan said the two put their heads together and asked: “How could this kind of transformation work for everybody, all businesses?” And they set out to create Atomic inside DVx.

In typical Tesla fashion, they really are aiming that high. “Our ambition, our vision, is to support every company that sells physical goods,” Rossiter said.",https://techcrunch.com/2025/04/15/former-tesla-supply-chain-leaders-create-atomic-an-ai-inventory-solution/,2025-04-15 00:00:00
Biztoc.com,"Trump Ally Marjorie Taylor Greene Bought Tesla, Amazon, Blackstone Before Rally",,,https://biztoc.com/x/c244009dbf5f92d2,2025-04-15 15:44:53+00:00
Biztoc.com,"Former Tesla supply chain leaders create Atomic, an AI inventory solution",,"Tesla famously struggled to scale up production of the Model 3 sedan in 2018 — so much so that CEO Elon Musk said his company was weeks away from collapsing. That near-death experience helped spawn a whole new company called Atomic that’s built around using AI to streamline supply…

This story appeared on techcrunch.com , 2025-04-15 16:00:00.",https://biztoc.com/x/666ff3c40643f8e8,2025-04-15 16:00:00+00:00
The Times of India,'If Snapchat existed back then': AI creator’s hilarious and haunting Gen Z–style historical selfies leave the internet spellbound,,"The Snap That Sparked Gravity

Einstein’s Tongue, Titanic’s Tears

The Rise of Timeless Tech-Art

What if Julius Caesar could drop a selfie moments before betrayal? Or Neil Armstrong took a “moonwalk snap” with a geotag reading The Moon? Thanks to the playful genius of a digital creator behind the Instagram page @timeless_snaps, history is getting a filter makeover—and netizens can’t get enough of it.In a viral reel series captioned “If Snapchat existed back then”, AI-powered visuals reimagine legendary figures and moments in history as if they were modern-day influencers. From Christopher Columbus sailing into the New World with a #SeaBreeze filter, to Daewin showing a sketch of his theory of evolution, to Princess Diana surrounded by cheering crowds in her iconic blue dress, these AI creations are as jaw-dropping as they are imaginative.One standout reel has Isaac Newton reclining beneath an apple tree, phone in hand, about to snap a photo when—thud—an apple lands squarely on his head. The caption? “If Isaac Newton had Snapchat.” The AI art doesn’t just recreate Newton’s moment of epiphany—it captures his bemused expression mid-revelation, the stuff meme legends are made of.From a sun-drenched Vincent van Gogh posing in a sunflower field, to Mother Teresa offering a serene smile amidst a swirl of compassionate chaos, the reels play on nostalgia, history, and internet culture with masterful ease.The creator doesn’t shy away from the dramatic either. One reel shows a giddy Einstein with his tongue out, the equation E=mc² glowing in chalk behind him—because every genius needs a quirky snap. Meanwhile, the Titanic is given a tragic yet oddly charming Snapchat spin, with Rose looking wistfully into the camera and “snap story” recreations that feel like Gen Z’s take on period drama.There’s also a side of satire. A visual of Julius Caesar and Marcus Brutus features the cheeky caption, “Brutus said it’s just a prank,” while a reel of Nikola Tesla reads, “Just powered a city for fun.” The Wright brothers, Genghis Khan, and even scenes from iconic films have been swept up in this whimsical AI time warp.This innovative blend of AI, history, and humor has ignited the internet’s imagination. Users are flooding the comments section with applause and laughter. “What an AI masterpiece,” one fan wrote. “I loveee these videos!!!” gushed another, while a particularly entertained viewer simply said, “Brutus said it’s just a prank… lol 😂.”The explosion of AI-generated digital art is redefining how we experience storytelling, memory, and myth. These playful yet poignant recreations serve not only as entertainment but also as reminders of how far both technology and creativity can go.",https://economictimes.indiatimes.com/magazines/panache/if-snapchat-existed-back-then-ai-creators-hilarious-and-haunting-gen-zstyle-historical-selfies-leave-the-internet-spellbound/articleshow/120316575.cms,
Quartz India,"The 'fairy tale' problem with Trump's car tariffs, according to an analyst",,"In This Story TSLA F GM STLA

One major auto-industry tracker thinks President Donald Trump’s vision of purely U.S.-made cars is purely fantasy.

How Trump’s tariffs could make your iPhone cost $3,500 CC Share Subtitles Off

English view video How Trump’s tariffs could make your iPhone cost $3,500

How Trump’s tariffs could make your iPhone cost $3,500 CC Share Subtitles Off

English How Trump’s tariffs could make your iPhone cost $3,500

A group of Wedbush analysts led by Dan Ives sent a note Tuesday saying that the president’s “head-scratching tariff slate” could result in a 15-20% reduction in demand for new auto purchases in the U.S. in 2025.

Advertisement

“We reiterate the concept of a U.S.-made car with all U.S. parts is a fairy tale fictional narrative,” the analysts wrote. “This auto tariff (in its current form) will send the auto industry into upside down mode and raise the average price of cars between $5k on the low end and $10k to $15k on the high end.”

Advertisement

The analysts pointed out that manufacturers that make their vehicles in the U.S. import a large portion of their parts from abroad and therefore won’t be able to avoid the tariffs.

Advertisement

Even Tesla (TSLA), led by Trump fanatic and DOGE head Elon Musk, is far from immune. “While Tesla is in a much better situation relatively speaking … the auto tariffs are a complicating factor that could disrupt the supply chain and add cost inputs at a time Tesla and Musk are trying to balance its operations globally,” Ives and company wrote. “Musk is a vocal opponent to tariffs as it’s clear the negative impact this would have on the U.S. auto market with U.S. consumers ultimately paying the higher prices/taxes/tariffs.”

The analysts estimated that the tariffs in their current form would add up to $100 billion in annual costs to the U.S. auto industry. These costs “will essentially get passed directly onto the consumer and clearly erode demand on Day 1 of tariffs,” they said.

Advertisement

On Monday, Trump said he would be open to short-term exemptions for automakers that import parts from Canada and Mexico. “They’re gonna make them here, but they need a little bit of time, so I’m talking about things like that,” he said. Still, no further details on potential exemptions have been made public, leading to uncertainty throughout the auto industry and beyond.

During Tuesday morning trading, Ford (F) stock fell 2.7%, General Motors (GM) lost 1.9%, and Stellantis (STLA) was breakeven. Tesla stock rose 1.3%.",https://qz.com/trump-us-made-cars-fairy-tale-wedbush-tariffs-1851776247,2025-04-15 15:56:00.247000+00:00
Harpers.org,"Weekly Review,",,"Apple transported 600 tons of iPhones from India to the United States via chartered cargo jets before the U.S. president’s “Liberation Day” tariffs took effect, and U.S. Customs and Border Protection issued a notice that smartphones were among those electronic goods that would be temporarily exempted from reciprocal tariffs.1 2 3 Shares plummeted in copper, crude oil, cocoa, and coffee; and the “magnificent seven” tech companies, five of whose CEOs flanked the U.S. president during his inauguration in January, collectively lost trillions of dollars in market value.4 5 6 7 8 9 10 “No winners in a tariff war,” China’s president said while on a trip to Spain, shortly before raising tariffs on U.S. products to 125 percent.11 Mexico’s government reportedly opened discussions with the private sector to expand its domestic fracking industry, and the U.S. president called Mexico’s president “elegant” during a cabinet meeting.12 13 14 The euro made gains against the dollar, imported vehicles piled up at American ports, and investors worldwide began dumping American government bonds.15 16 17 “Everything’s,” said the Barstool Sports founder and daytrader Dave Portnoy, “in the shitter.”18

The IRS reached an agreement to hand over sensitive taxpayer information to support ICE’s efforts to identify undocumented immigrants, and the Trump Administration classified more than 6,000 living immigrants as dead to pressure them to return to their birth countries.19 20 The Supreme Court implicitly allowed the use of the 1798 Alien Enemies Act to arrest and deport alleged members of a Venezuelan gang; the White House admitted that a Maryland man of Venezuelan origin who was accidentally sent to El Salvador’s Terrorism Confinement Center last month on account of an “administrative error” was “alive and secure” but that his homecoming hinges on the nation’s authoritarian leader, who during a White House visit reiterated that he would not allow the man to return to the United States; and former Blackwater CEO, Erik Prince, proposed that some segment of this same maximum-security prison, which has been flagged by Human Rights Watch for its abusive conditions and from which no detainee has ever been released, should be designated an American territory in order to circumvent legal challenges.21 22 23 24 25 26 An American-born Massachusetts immigration attorney received an email from the federal government that she must self-deport within seven days; the lawful permanent resident and Palestinian student Mohsen Mahdawi was detained by ICE agents at his naturalization interview in White River Junction, Vermont; and a Louisiana immigration judge affirmed that the deportation of Columbia University campus organizer and green-card holder Mahmoud Khalil, whose “current or expected beliefs,” the state department had alleged, contravened American foreign policy, could proceed.27 28 29 30 “Don’t worry,” Khalil told his supporters after the decision.31

The White House announced that it would withhold federal education funding from the state of Maine after its governor refused to ban transgender athletes from participating in women’s sports, the U.S. secretary of education confused AI with A.1. steak sauce, two more American universities were hit with nearly $2 billion in federal fund freezes, and students in Waterloo, Canada were afflicted with a spate of attacks by a pair of geese.32 33 34 35 36 37 “We can’t even,” said one student, “leave our house.”38 A penguin in an open cardboard box caused a helicopter to crash after embarking from Bird Island, South Africa; and a Tesla was pinned under a box truck in Atlanta.38 39 The home of Pennsylvania’s governor was set on fire in an arson attack shortly after he and his family celebrated the first night of Passover, and the Israel Defense Forces inaugurated twice-daily civilian hiking tours of newly-occupied Syrian land on the occasion of Passover weekend.40 41 “Sorry,” began a note slipped to a Citibank teller by a 22-year-old in Tribeca who made off with $10,000.42 “This is a robbery.”43 —Maya Perry",https://harpers.org/2025/04/weekly-review-iphones-liberation-day-tariff-war-elegant-in-the-shitter-administrative-error-alive-and-secure-prince-prison-dont-worry-house-geese-this-is-a-robbery/,2025-04-15 15:30:22+00:00
