source,title,description,text,url,publishedAt,emotion,summary
Biztoc.com,Every Penny Musk Made Since Trump Won Has Been Wiped Out,,"Elon Musk has himself become a casualty of Donald Trumps chaotic tariff rollout. The Tesla CEOs net worth dipped below $300 billion for the first time since November, when Trump won re-election. Musk lost $31 billion across Thursday and Friday last week, and another $4.4 billion on This story appeared on thedailybeast.com , 2025-04-09 15:29:14.645000.",https://biztoc.com/x/b2f933ddea76eb27,2025-04-09 15:29:14+00:00,neutral,"Tesla CEOs net worth dipped below $300 billion for the first time since November. Musk lost $31 billion across Thursday and Friday last week, and another $4.4 billion on."
DroidGamers,How To Reload The Electrocutioner In Dead Rails,,"So youve got the most powerful gun in Dead Rails, but youve burned through all its charges? Well, dont trash it just yet. In this guide we explain how to reload the Electrocutioner in Dead Rails. Dead Rails is available over on Roblox. If youre interested in learning how to do some other stuff in-game, take a look at our guide on how to tame a wolf in Dead Rails. How To Reload The Electrocutioner In Dead Rails The Electrocutioner needs lightning to recharge its shots. There are several different ways to do this, so lets outline all of them! The Lightning Rod Method This is one of the cheapest methods resource-wise. You need to place the Electrocutioner on the ground and hold a Lightning Rod close to it while a Lightning Storm event is overhead. When lightning strikes the rod, it should return some charge to the gun, if youve got the rod close enough to it. This can be a little tricky, but its relatively safe and fully renewable every time theres a storm. The Holy Water Method If you have a bottle of Holy Water, you can easily recharge the gun. Simply place it on the ground and throw a Holy Water at the same spot. Lightning should strike multiple times around it and recharge a bunch of shots. Of course, that leaves you short one Holy Water. The Crucifix Method Similar to the Holy Water, but a little more complicated, you can charge the Electrocutioner with a Crucifix. First, you need to place the gun on the ground, then you need to kite an enemy over to it. The I Volunteer As Tribute Method If you dont have a Lightning Rod well theres always the living lightning rod: Another player character. Another player can stand out in a storm holding the gun, and if they get struck, this should give the gun some charge when you recover it. This works especially well with High Rollers well, it doesnt work out well for the High Roller, but their sacrifice isnt in vain.",https://www.droidgamers.com/guides/how-to-reload-the-electrocutioner-in-dead-rails/,2025-04-09 15:11:20+00:00,neutral,"The Electrocutioner needs lightning to recharge its shots. There are several different ways to do this, so lets outline all of them. The Lightning Rod Method is one of the cheapest methods resource-wise. The Holy Water Method If you have a bottle of Holy Wate, you can use it to recharge the gun. If youre interested in learning how to do some other stuff in-game, take a look at our guide on how to tame a wolf in Dead Rails."
Biztoc.com,Cathie Wood raises fears there are serious liquidity issues in the U.S. banking system as Trump tariffs hit,,"As President Trump's punitive tariffs took effect, Cathie Wood, famous for her aggressive bets on Tesla is calling for a coordinated fiscal and monetary policy stimulus to restore flagging market confidence. ARK Invest founder Cathie Wood called on the Trump administration and the This story appeared on fortune.com , 2025-04-09 14:58:37.",https://biztoc.com/x/3a03a6c5b504715f,2025-04-09 14:58:37+00:00,anger,"Cathie Wood, famous for her aggressive bets on Tesla is calling for a coordinated fiscal and monetary policy stimulus to restore flagging market confidence. ARK Invest founder Cathie Wood called on"
Biztoc.com,Musk calls Trump adviser 'moron' in quarrel over Tesla,,"The South African-born billionaire's latest spat further fuelled rumours of his growing rift with Trump. Influential allies have also criticised the US president's tariffs. Elon Musk dubbed one of Donald Trump's advisers ""moron,"" in the latest spat between the South African-born This story appeared on euronews.com , 2025-04-09 14:55:23.958000.",https://biztoc.com/x/2941c881c757e2ca,2025-04-09 14:55:23+00:00,anger,"The South African-born billionaire's latest spat further fuelled rumours of his growing rift with Trump. Influential allies have also criticised the US president's tariffs. Elon Musk dubbed one of Donald Trump's advisers ""moron,"" in the latest spat between the South African-born This story appeared on euronews.com , 2025-04-09 14:55:23.958000."
Biztoc.com,BYD faces a roadblock in India just as Tesla tries to expand in the world's 3rd largest auto market,,"BYD has grown rapidly in recent years, but India remains a stumbling block. Aleksander Kalka/NurPhoto/Getty Images India won't let China's electric vehicle giant BYD expand in the country, its commerce minister said. BYD has to convince India it will ""play by the rules of the game,"" This story appeared on businessinsider.com , 2025-04-09 14:34:52.",https://biztoc.com/x/7b25f007436c801c,2025-04-09 14:34:52+00:00,neutral,"India won't let China's electric vehicle giant BYD expand in the country. BYD has to convince India it will ""play by the rules of the game,"" commerce minister says."
Electrek,"Kias first electric sedan is almost here, but plenty more EVs are on the way",,"That Kia EV sedan weve been waiting for is almost here. Kia also confirmed it will launch a midsize pickup in North America. Next week, three new Kia vehicles, including the EV4, its first electric sedan, will debut at the New York International Auto Show. Heres what to expect. Kias first electric sedan will debut at the NY Auto Show Back in 2023, the EV4 stole the show as a concept during Kias first EV Day. Earlier this year, Kia unveiled the production model, debuting as the brands first electric sedan and hatchback. The electric sedan is among the most highly anticipated EV launches of 2025. Kias EV4 will arrive this year as part of its low-cost EV lineup, and it could be a true challenger to the Tesla Model 3. After opening orders in Korea last month, Kia said the EV4 will set a new standard for electric sedans, starting at just 41.92 million won, or about $28,000. It has two battery options, 58.3 kWh or 81.4 kWh, providing a range of 237 miles (382 km) and 331 miles (533 km) in Korea. Advertisement - scroll for more content With its North American debut now officially set for next week, Kia teased the new EV, claiming it will be one of three new vehicles. The new vehicles include a sedan, an SUV, and something in between. Two will be fully electric, while the other offers a sporty and versatile approach in the compact car segment. Kia EV4 electric sedan teaser for North America (Source: Kia) More EVs are on the way, including an electric pickup During its CEO Investor Day on Wednesday, Kia confirmed plans to launch a new midsize EV pickup for North America. In the long-term, the company aims to eventually sell 90,000 units for about 7% of the market share. Kias electric pickup will be based on a new EV platform built for city and outdoor use. According to Kia, it will offer best-in-class interior and cargo space, a robust towing system, off-road capabilities, and advanced infotainment and safety features. Kia Tasman pickup truck (Source: Kia) Following the EV6 and EV9, Kia is expanding its electric car lineup with the new EV3, EV4, and EV5, which will roll out this year. Kia is also launching its first electric van, the PV5, to kick off its new PBV business. By 2030, the company plans to sell 2.33 million electrified vehicles, accounting for 56% of global sales. This includes 1.26 million EVs and 1.07 million hybrids. Kia unveils EV4 sedan and hatchback, PV5 electric van, and EV2 Concept at 2025 Kia EV Day (Source: Kia) As it expands its lineup, Kia expects electrified models to account for 70% of sales in North America, 85% in Europe, and 73% in Korea by the end of the decade. Kia boasted that it will lead the mass adoption of EVs by expanding its EV lineup with the addition of another volume model, the EV2, which is expected to launch in early 2026.",http://electrek.co/2025/04/09/kias-first-electric-sedan-almost-here-more-evs-on-the-way/,2025-04-09 00:00:00,neutral,"Kia EV4, its first electric sedan, will debut at the New York International Auto Show. Kia also confirmed it will launch a midsize pickup in North America. The electric sedan is among the most highly anticipated EV launches of 2025. Kias EV4 will arrive this year as part of its low-cost EV lineup, and it could be a true challenger to the Tesla Model 3. It has two battery options, 58.3 kWh or 81.4 kWh, providing a range of 237 miles (382 km)"
Business Insider,BYD faces a roadblock in India just as Tesla tries to expand in the world's 3rd largest auto market,,"This story is available exclusively to Business Insider subscribers. Become an Insider and start reading now. India has blocked Chinese electric vehicle giant BYD from expanding in its auto market, just as Elon Musk's Tesla looks to build its presence there. ""India has to be cautious about its strategic interests, who we allow to invest,"" Commerce Minister Piyush Goyal told Bloomberg at the India Global Forum on Monday. Asked about BYD's prospects, he said: ""As of now, it's a no."" Goyal accused BYD of engaging in ""unfair practices"" and said India's government must be ""convinced"" that the Chinese EV maker would ""work by the rules of the game."" India had previously rejected BYD's $1 billion joint venture proposal with a local firm last year, citing national security concerns about Chinese investments. Tensions between Beijing and Delhi have long been high, with the two growing superpowers often butting heads. BYD has maintained a limited presence in India. The company sold 3,500 cars in India in 2024, BYD India executive Rajeev Chauhan told Business Standard less than 0.1% of its 4.27 million global sales last year. Meanwhile, Tesla has ramped up efforts to break into India, the world's third-largest car market. In February, the company listed 13 job openings based in Mumbai, just days after Prime Minister Narendra Modi met with Musk. However, Tesla's India ambitions drew criticism from President Donald Trump, who said that opening a Tesla plant there would be ""unfair"" due to the country's steep import tariffs up to 100% on EVs. ""Every country in the world takes advantage of us, and they do it with tariffs,"" he told Fox News in February adding, ""It is impossible to sell a car, practically, in, as an example, India."" ""Now, if he built the factory in India, that's OK, but that's unfair to us,"" Trump said of Musk. ""It's very unfair."" Last week, Trump imposed 26% tariffs on goods from India as part of his sweeping tariff program. Musk was also expected to announce a major investment during a trip to India in April 2024 but postponed it after Tesla announced plans to lay off 10% of its global workforce . Entering the Indian market could give Tesla a much-needed boost. The company has faced sluggish sales in Europe and the US this year, growing competition from BYD, and backlash driven by Musk's work in the Department of Government Efficiency. As of Tuesday's close, Tesla stock was down 41% this year, while BYD shares are up nearly 20%. Last year, Tesla and BYD were neck and neck in global EV sales, but BYD pulled ahead on revenue outpacing Tesla by roughly $10 billion for the first time.",https://www.businessinsider.com/byd-just-got-blocked-from-selling-evs-in-india-2025-4,,fear,"India has blocked Chinese electric vehicle giant BYD from expanding in its auto market. ""India has to be cautious about its strategic interests,"" Commerce Minister Piyush Goyal said. India had previously rejected BYD's $1 billion joint venture proposal with a local firm last year. Tensions between Beijing and Delhi have long been high, with the two growing superpowers often butting heads. The company sold 3,500 cars in India in 2024, BYD India said."
Biztoc.com,"Live: Magnificent 7 Stocks (MAGS) Apple (Nasdaq: AAPL), Tesla (Nasdaq: TSLA) Shrug Off Trade War Escalation",,"24/7 Wall St. Insights: Following President Trump hiking tariffs on China another 50%, Beijing responded by raising tariffs on U.S. goods to 84%. Despite the escalating tensions and stock futures falling, Magnificent 7 stocks are shrugging off the news and rising in This story appeared on 247wallst.com , 2025-04-09 13:55:57.",https://biztoc.com/x/8711da5fdd9d1196,2025-04-09 13:55:57+00:00,neutral,"Despite the escalating tensions and stock futures falling, Magnificent 7 stocks are shrugging off the news and rising in."
BroBible,Tesla And Elon Musk Being Sued For Ripping Off Blade Runner 2049 Despite Warnings Not To,,"Robert Hanashiro-USA TODAY/Imagn/Warner Bros. A judge has allowed a lawsuit brought against Tesla by the producers of Blade Runner 2049 to go forward. Alcon Entertainment and Warner Bros. are suing Tesla for using visuals from the film in a presentation despite being told not due. Blade Runner 2049, directed by acclaimed Dune filmmaker Denis Villeneuve, is a sequel to Ridley Scotts seminal 1982 sci-fi film Blade Runner. Both films are considered to be formative in the science-fiction genre for their seemingly-prescient aesthetics. Clearly a fan of the film, Elon Musk and Tesla used materials from Blade Runner 2049 during the companys We Robot presentation despite being warned not to. Lawyers for the companies say that they did not want to be associated with Musks massively amplified, highly politicized, capricious and arbitrary behavior, which sometimes veers into hate speech. Alcon sued Warner Bros and Tesla last October after the automakers We Robot event on the Warners lot in Burbank, insisting that the companies had ignored its refusal of a request to incorporate the films visuals. Alcon maintains that it refused a request from the studio to use images from the film. Attorneys for the company said executives had made it clear that under no circumstances could there by any affiliation between the film and the Elon Musk-run automaker. The crux of the production firms objection was Musks massively amplified, highly politicized, capricious and arbitrary behavior, which sometimes veers into hate speech. Despite that directive, an 11-second slide appeared during Teslas presentation, with Musk specifically alluding to the sci-fi property in a voice-over. [via Deadline] While Tesla is now being sued for copyright infringement, the scope of the complaint was narrowed in a ruling by Judge George Wu in the U.S. District Court of Central California, siding with the defendants by dismissing several of Alcons claims and ordering the narrower complaint to go to mediation. Over the last few months, amidst growing resentment towards Musk and a tumbling economgy, Tesla stock has lost nearly half of its value since the post-election high in December.",https://brobible.com/culture/article/tesla-blade-runner-2049-lawsuit/,2025-04-09 14:12:36+00:00,anger,"Alcon Entertainment and Warner Bros. are suing Tesla for using visuals from the film in a presentation despite being told not due. Blade Runner 2049, directed by acclaimed Dune filmmaker Denis Villeneuve, is a sequel to Ridley Scotts seminal 1982 sci-fi film Blade Runner. Both films are considered to be formative in the science-fiction genre for their seemingly-prescient aesthetics."
Biztoc.com,Tesla Underdelivers,,"In This Article: In this podcast recorded April 2 before President Donald Trump's big tariff announcement, Motley Fool analyst David Meier and host Mary Long discuss: - How different companies were bracing for the tariff impact. - Tesla's sales slump. Motley Fool contributor Jason Hall This story appeared on finance.yahoo.com , 2025-04-09 13:46:00.",https://biztoc.com/x/b356e0534c9b21d5,2025-04-09 13:46:00+00:00,neutral,Motley Fool analyst David Meier and host Mary Long discuss how different companies were bracing for the tariff impact. Motley Fool contributor Jason Hall discusses Tesla's sales slump.
